anciennete_jours,montant,heure,nouveau_beneficiaire,solde_avant,nb_virements_1h,changement_mdp,minutes_depuis_chg_mdp,localisation,nb_virements_vers_benef,fraude
24,1395157,12,0,2604382,15,0,442,0,20,1
223,15964,2,0,837960,1,0,39165,1,3,0
1813,194044,3,0,1077227,2,0,38923,1,13,0
333,5309,5,0,167248,0,0,46017,1,3,0
455,148033,9,0,2877479,0,0,13608,0,8,0
89,1426868,20,0,2929485,11,0,5488,1,15,1
376,5702,5,0,450195,2,0,36556,0,15,0
1059,149918,23,1,1811563,0,0,41005,1,8,0
88,1616380,0,1,2410019,15,0,975,1,8,1
1138,93382,4,1,233477,2,0,18714,0,7,0
1582,91193,21,0,2384624,1,0,45401,1,15,0
34,1207038,9,0,3154033,14,0,603,1,17,1
723,123531,23,1,2170601,0,0,42484,1,11,0
1642,120375,14,0,731429,0,0,43173,0,20,0
63,1814722,19,0,4376926,11,1,4,0,1,1
261,128264,20,0,2216870,1,0,19143,1,12,0
18,1247782,11,1,2460246,12,0,3759,0,20,1
1755,188249,21,0,663489,0,0,34291,0,20,0
821,157887,0,1,1285040,0,0,46853,0,17,0
227,115286,13,0,1356704,0,0,33478,1,7,0
933,23823,15,0,1201059,1,0,49556,0,3,0
100,998284,5,0,1620234,12,0,4604,0,4,1
90,436240,3,1,3203290,13,0,8379,0,12,1
744,48142,9,0,1468681,2,0,46371,0,11,0
69,1839795,19,1,4454818,14,0,8371,0,17,1
31,326753,23,1,1420495,11,0,9694,1,9,1
1844,151998,5,1,1263831,0,0,46644,1,10,0
1557,19553,7,0,658559,0,0,45639,1,12,0
98,1163900,21,0,2965427,8,1,50,0,17,1
30,1518212,0,0,3243576,15,0,2976,0,13,1
1241,4921,1,0,221163,2,0,8620,0,19,0
66,1276399,2,1,3682767,15,0,6250,1,7,1
1343,90130,10,1,998319,0,0,18184,0,2,0
99,326847,2,0,2498253,10,1,8,1,3,1
1852,39811,5,0,828445,1,0,44934,1,4,0
17,1757132,10,1,2478835,9,1,8,1,15,1
16,533421,16,0,3228188,11,1,60,0,19,1
86,1806912,14,0,1927167,13,0,2091,1,2,1
5,1239554,7,1,2856885,10,1,20,0,0,1
47,1199566,4,1,2037684,10,0,260,1,19,1
31,1823246,0,1,2031771,6,1,24,1,7,1
42,398753,23,1,553454,9,1,13,0,0,1
919,155842,10,0,1719760,0,0,47543,1,1,0
63,302637,0,1,2461189,10,0,752,0,2,1
17,1022997,16,1,2201487,10,1,36,1,9,1
518,53448,3,1,2568350,0,0,27279,0,17,0
1615,91861,4,0,2421411,2,0,39944,0,16,0
1562,180033,18,0,769308,1,0,12968,1,6,0
1637,3342,0,1,822834,0,0,31475,1,18,0
783,143835,18,1,2636519,2,0,25574,1,4,0
1041,111340,1,0,257679,0,0,21988,1,20,0
32,907500,6,0,1106854,7,1,27,1,8,1
40,1978685,21,0,2934139,6,1,1,0,2,1
1272,63787,14,0,341334,2,0,26542,0,1,0
80,469812,10,0,3017379,11,0,5383,1,20,1
1311,165871,5,0,2925311,0,0,2073,1,10,0
1370,25443,13,0,1544928,2,0,13403,1,3,0
52,1799324,20,0,2946141,10,1,52,0,20,1
912,161444,17,0,249117,0,0,21619,0,12,0
805,33735,17,1,1451940,1,0,45354,0,14,0
1,305563,1,0,1812037,13,1,37,1,17,1
1940,146768,14,0,1516551,0,0,10605,1,11,0
24,1982813,11,0,2970724,5,0,8854,1,14,1
22,1598416,3,1,2159059,5,1,41,1,3,1
778,85661,18,0,739598,2,0,43400,1,10,0
32,893478,17,0,1982470,7,1,34,1,3,1
1650,65639,8,0,336452,1,0,41778,1,2,0
63,417606,3,0,984108,13,1,49,1,14,1
36,1126839,10,1,2640682,14,0,8826,0,14,1
732,125715,12,1,2715422,1,0,1165,1,2,0
94,1968471,17,1,4752171,5,1,59,0,14,1
1319,177828,14,0,2079049,2,0,13578,0,0,0
1352,24534,18,1,271673,2,0,11196,1,15,0
1271,39370,11,1,2332179,2,0,12914,1,8,0
31,656251,16,1,3411172,14,0,7977,0,1,1
48,1609949,6,1,1769233,5,1,51,1,16,1
94,613508,4,0,3434223,6,1,15,0,11,1
92,636925,10,0,2631661,12,1,22,0,19,1
1800,12872,7,0,2218788,0,0,44017,1,15,0
1239,11069,18,0,1428971,1,0,14069,1,7,0
20,750675,19,1,2804161,8,0,3181,1,17,1
552,23937,1,0,552890,1,0,17086,1,13,0
592,26265,18,1,543313,0,0,20638,1,2,0
1377,145728,11,0,2710874,0,0,10498,0,20,0
762,163894,6,0,2811888,2,0,25922,0,1,0
63,684875,23,1,2056261,13,0,7181,1,1,1
1774,69845,13,0,2872861,2,0,22264,1,11,0
1102,26692,0,0,1327390,1,0,36546,0,1,0
813,35130,18,1,2858885,2,0,39101,1,15,0
1162,186170,12,1,1849821,2,0,9677,1,14,0
88,1720308,11,0,3237906,7,0,9656,1,19,1
28,741823,3,0,3376124,12,0,4755,1,1,1
1210,102536,2,0,2409231,2,0,40418,0,17,0
50,835298,18,1,1848538,7,0,146,1,8,1
53,1317465,0,1,2976102,10,1,5,1,0,1
1991,1399,9,0,723680,0,0,31690,0,8,0
1163,160246,4,1,410232,0,0,32801,0,16,0
257,62402,12,0,331984,1,0,46131,1,3,0
645,126748,17,1,3089160,0,0,5358,1,15,0
900,101101,19,0,1585283,2,0,17239,1,20,0
67,1507239,2,1,1773314,12,1,17,0,12,1
31,1681040,19,1,2847754,5,1,6,0,19,1
78,877183,14,1,2552258,8,0,9359,0,1,1
1976,119781,2,1,2248476,0,0,6917,1,3,0
62,396190,8,1,1212798,12,0,8849,1,12,1
611,63226,2,0,990378,2,0,41322,1,17,0
39,819141,16,0,2778559,7,1,30,0,5,1
429,137831,12,0,536866,0,0,39564,0,15,0
1877,74834,17,0,1022593,0,0,7626,0,3,0
61,375124,9,1,1186517,10,1,33,0,13,1
11,1396029,15,1,1624931,10,0,4620,0,10,1
844,110790,17,0,2022328,1,0,16500,0,16,0
1814,75273,23,0,280590,2,0,22820,0,19,0
67,807314,9,0,3652551,6,0,5362,1,13,1
229,17445,13,0,2341615,2,0,6449,0,1,0
40,1538657,5,0,4067921,10,0,5311,1,0,1
306,172681,18,0,2141258,2,0,39981,1,3,0
82,1406273,9,1,3067114,13,1,12,1,0,1
1368,107378,9,1,2528403,2,0,47394,0,15,0
1335,39076,9,0,468685,0,0,33134,0,19,0
24,373590,21,0,2874576,9,0,2708,0,4,1
20,1719871,22,1,2129541,13,0,9067,0,17,1
13,479146,12,1,3331714,6,1,48,0,14,1
1871,130971,8,1,1766593,1,0,36832,0,15,0
455,132552,21,0,2273755,2,0,42881,1,11,0
503,134302,9,0,478504,1,0,10406,1,15,0
1448,14270,7,0,708472,2,0,49674,0,19,0
45,1550056,1,0,1938818,5,0,6548,0,17,1
55,1335111,7,0,2385627,14,1,16,1,7,1
35,998382,1,1,3684539,12,1,56,0,19,1
795,151748,21,0,377849,1,0,49426,1,13,0
1354,192751,17,0,1369764,1,0,33251,0,10,0
28,1471390,8,0,3153152,8,0,3653,0,11,1
1524,138754,5,1,534421,1,0,30283,1,16,0
376,169189,7,0,1652678,0,0,29850,0,7,0
1200,98081,2,0,831527,1,0,44990,0,13,0
29,302562,14,0,2567016,12,0,9711,1,0,1
4,440758,10,0,1194783,15,1,15,0,15,1
1197,81290,11,0,1554727,1,0,30194,0,18,0
1605,168003,9,0,1727604,1,0,27894,1,17,0
1820,45182,22,1,203328,0,0,13771,0,10,0
1038,70126,9,1,2345270,0,0,48048,1,17,0
48,1569234,1,0,2747439,7,0,620,1,12,1
19,1340033,16,0,3551820,13,1,17,1,11,1
51,356545,5,0,640802,13,0,3879,0,3,1
71,347313,19,1,1425265,12,1,1,0,18,1
81,1597604,6,1,3666207,7,0,7475,0,7,1
27,1562177,14,0,2759685,9,1,43,1,20,1
976,16708,8,0,780413,2,0,9910,1,2,0
62,1667115,2,0,2929137,7,1,2,1,9,1
21,1369119,10,1,3014638,9,0,8580,1,15,1
1885,52845,13,1,2121588,1,0,12183,1,7,0
83,462503,4,1,1007866,6,0,5514,1,15,1
274,59973,7,1,1044659,1,0,29811,1,3,0
73,512852,14,0,1677791,11,1,49,1,0,1
821,136208,3,1,2515031,0,0,39382,1,14,0
26,478623,14,1,897634,6,1,53,0,20,1
81,588920,0,1,1553654,9,1,18,1,1,1
1409,112546,18,1,1011024,0,0,2219,0,9,0
1394,187829,16,0,1278745,2,0,21933,0,6,0
67,1730672,19,1,4117527,9,1,7,1,8,1
1487,15694,10,1,2911360,2,0,5584,1,8,0
19,808123,19,0,869690,11,0,9648,1,9,1
69,1428649,11,1,1487768,8,1,45,0,20,1
476,32684,21,1,191466,0,0,44094,1,20,0
1229,51220,7,0,540733,1,0,36961,1,12,0
6,1332416,6,0,3874447,14,0,5032,1,1,1
47,1596623,12,0,3771723,9,1,43,1,19,1
1938,16196,10,1,754294,2,0,40146,0,4,0
28,1529432,6,1,2037969,5,0,8822,0,12,1
29,1003999,3,1,1603518,8,0,5648,0,7,1
829,198833,17,1,1575822,2,0,44690,1,11,0
92,514470,17,0,3041877,13,0,4088,0,2,1
90,977794,14,0,3019524,15,0,9991,1,14,1
1706,74733,9,1,2086103,2,0,18149,0,17,0
1353,156261,3,1,450292,0,0,41360,0,4,0
1969,127310,2,0,2916124,0,0,6677,0,17,0
92,1277656,1,0,4122089,9,1,16,0,17,1
39,1651312,6,1,3883206,8,1,0,0,19,1
39,319862,9,0,3266696,8,1,45,1,6,1
1017,36026,11,0,1291442,0,0,5832,1,6,0
1427,137230,11,0,634037,2,0,24479,0,7,0
1642,182474,0,0,1756738,1,0,5480,0,1,0
4,1472745,22,0,2799371,12,1,1,1,2,1
89,1899194,6,1,2467969,13,0,3767,1,13,1
20,992481,6,0,1511014,15,1,12,0,1,1
1822,165009,15,0,621298,0,0,37377,0,2,0
1159,140521,9,0,1911796,2,0,43787,1,7,0
475,137296,20,1,1471194,0,0,34484,0,9,0
19,794793,6,0,837774,15,0,1797,0,3,1
26,1495990,22,0,4379068,5,0,2188,0,2,1
58,563035,13,1,2264890,6,1,43,0,17,1
1541,171286,10,0,1500043,0,0,29753,1,3,0
371,145011,22,0,1587522,1,0,27353,1,2,0
697,41527,18,0,1034624,1,0,34138,0,16,0
80,533058,15,0,2599001,14,1,7,0,5,1
2,1328605,1,0,3967111,14,1,51,1,8,1
303,118699,2,0,1210310,1,0,7762,1,10,0
58,1917491,7,1,2060507,12,1,17,1,0,1
791,177281,16,0,715875,2,0,8262,0,4,0
46,588217,15,1,1732762,13,1,37,0,11,1
1507,89050,14,1,1614473,0,0,10275,1,10,0
